"idmutation";"idmutinvar";"idopendata";"idnatmut";"codservch";"refdoc";"datemut";"anneemut";"moismut";"coddep";"libnatmut";"vefa";"valeurfonc";"nbdispo";"nblot";"nbcomm";"l_codinsee";"nbsection";"l_section";"nbpar";"l_idpar";"nbparmut";"l_idparmut";"nbsuf";"sterr";"nbvolmut";"nblocmut";"l_idlocmut";"nblocmai";"nblocapt";"nblocdep";"nblocact";"nbapt1pp";"nbapt2pp";"nbapt3pp";"nbapt4pp";"nbapt5pp";"nbmai1pp";"nbmai2pp";"nbmai3pp";"nbmai4pp";"nbmai5pp";"sbati";"sbatmai";"sbatapt";"sbatact";"sapt1pp";"sapt2pp";"sapt3pp";"sapt4pp";"sapt5pp";"smai1pp";"smai2pp";"smai3pp";"smai4pp";"smai5pp";"codtypbien";"libtypbien"
3148919;"6f5eced1e3bcec553411a2c8c859d730";"6f5eced1e3bcec553411a2c8c859d730";1;;;"2016-09-29";2016;9;44;"Vente";"False";96000;1;0;1;"['44204']";1;"['AK']";2;"['44204000AK0250', '44204000AK0252']";2;"['44204000AK0250', '44204000AK0252']";2;289;0;0;"None";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;"TERRAIN DE TYPE TAB"
3121072;"9c204e4e281fed60a352dc4ac4701b2f";"9c204e4e281fed60a352dc4ac4701b2f";2;;;"2016-08-05";2016;8;44;"Vente en l'état futur d'achèvement";"True";159000;1;2;1;"['44204']";1;"['BA']";1;"['44204000BA0491']";0;"None";0;0;0;0;"None";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;"BATI - INDETERMINE : Vefa sans descriptif"
3237227;"5ac12200fbbc478cf4fa5b760b511f05";"5ac12200fbbc478cf4fa5b760b511f05";2;;;"2014-12-23";2014;12;44;"Vente en l'état futur d'achèvement";"True";151000;1;2;1;"['44204']";1;"['AZ']";1;"['44204000AZ0116']";0;"None";0;0;0;0;"None";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;"BATI - INDETERMINE : Vefa sans descriptif"
3241925;"360e73287ec1bf82be2c3e861b7a2e53";"360e73287ec1bf82be2c3e861b7a2e53";1;;;"2014-10-22";2014;10;44;"Vente";"False";375000;1;0;1;"['44204']";1;"['AW']";1;"['44204000AW0289']";1;"['44204000AW0289']";2;1543;0;1;"['442040003852352_0']";1;0;0;0;0;0;0;0;0;0;0;0;1;0;72;72;0;0;0;0;0;0;0;0;0;0;72;0;111;"UNE MAISON"
3243502;"3bec5123613fc1816cfa514a8134f57c";"3bec5123613fc1816cfa514a8134f57c";1;;;"2014-09-26";2014;9;44;"Vente";"False";81800;1;0;1;"['44204']";1;"['AL']";1;"['44204000AL0740']";1;"['44204000AL0740']";1;546;0;0;"None";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;"TERRAIN DE TYPE TAB"
3240425;"30dcef6d1feeab0fbb1d76c1dce17d72";"30dcef6d1feeab0fbb1d76c1dce17d72";1;;;"2014-07-03";2014;7;44;"Vente";"False";290000;1;0;1;"['44204']";1;"['AO']";2;"['44204000AO0432', '44204000AO0435']";2;"['44204000AO0432', '44204000AO0435']";2;4169;0;0;"None";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;"TERRAIN DE TYPE TAB"
3125279;"8d9ef44498c07837e9a4f205af0705d3";"8d9ef44498c07837e9a4f205af0705d3";2;;;"2016-04-29";2016;4;44;"Vente en l'état futur d'achèvement";"True";156000;1;2;1;"['44204']";1;"['BA']";1;"['44204000BA0465']";0;"None";0;0;0;0;"None";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;"BATI - INDETERMINE : Vefa sans descriptif"
3138677;"469ca550091cbe2241bb676778e08763";"469ca550091cbe2241bb676778e08763";2;;;"2016-05-23";2016;5;44;"Vente en l'état futur d'achèvement";"True";261500;1;3;1;"['44204']";1;"['BA']";1;"['44204000BA0465']";0;"None";0;0;0;0;"None";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;"BATI - INDETERMINE : Vefa sans descriptif"
3140965;"b0fb9003b9383b21fb7a02d19b850817";"b0fb9003b9383b21fb7a02d19b850817";2;;;"2016-05-23";2016;5;44;"Vente en l'état futur d'achèvement";"True";209000;1;2;1;"['44204']";1;"['BA']";1;"['44204000BA0491']";0;"None";0;0;0;0;"None";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;"BATI - INDETERMINE : Vefa sans descriptif"
3149204;"2a14b4545bcf93cda37904b25eb36498";"2a14b4545bcf93cda37904b25eb36498";2;;;"2016-06-29";2016;6;44;"Vente en l'état futur d'achèvement";"True";112500;1;2;1;"['44204']";1;"['BA']";1;"['44204000BA0491']";0;"None";0;0;0;0;"None";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;"BATI - INDETERMINE : Vefa sans descriptif"
